,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24,T25,T26,T27,T28,T29,T30,T31,T32,T33,T34,T35,T36,T37,T38,T39,T40,T41,T42,T43,T44,T45,T46,T47,T48,row_sd
20191104,1.639111223,1.12110754,0.795933276,0.610903805,0.949220189,1.048906825,1.07114699,0.954629012,0.709585482,0.283942539,0.841466171,0.505622436,0.587555726,0.624800035,0.559855086,0.427020657,0.622708711,1.22285071,1.202972556,1.298894588,0.967839008,0.57155776,0.859772144,2.822589647,2.156074203,3.300181621,2.798467495,2.338821694,1.283442554,1.433479607,0.862568584,1.326263625,0.59804604,-0.076313307,0.221037355,0.352591999,0.339672215,-0.135263344,0.045622128,0.105830732,0.152563082,0.679070871,0.82846126,1.040468328,1.443569064,0.960830839,1.321943271,1.476375658,0.36233697
20191105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20191106,0.019076128,-0.069399988,-0.17050084,0.150354621,0.263283383,0.534510069,0.50745729,0.340358452,0.782897845,0.24813423,0.303583036,0.917789255,0.342303186,0.145660022,0.067732216,0.433655817,0.675596181,0.383745607,0.597086247,0.40653651,0.472023576,0.257538403,0.785581278,1.56922474,0.443174128,0.972569486,0.952289957,1.5399672,0.455056725,0.497570179,0.292989157,2.667232589,0.583574082,2.320587913,1.043764388,-0.23313639,0.76878973,0.761249366,0.075829889,0.441134709,0.463334327,0.115273852,-0.045742901,0.074392479,0.626651435,0.352335772,0.807079026,0.371288153,0.269455337
20191107,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20191108,0.06580618,0.018173163,0.177409418,0.075436736,0.017085797,0.061714469,0.127263986,-0.062829363,0.03746266,-0.060792107,-0.150580912,-0.060276597,0.064410414,0.063132061,0.269766975,0.083850708,0.03673758,0.208182914,-0.026695345,0.100468326,0.252920918,0.114171074,-0.00891274,0.111509822,0.243554681,0.420170074,0.236135297,0.440319334,0.669553582,1.124113316,3.283273046,0.546057408,0.282873312,0.225835162,1.028888987,0.809154831,0.198572117,0.333769198,0.071361289,0.208635531,0.286159165,0.258071013,0.691775922,0.759908973,0.402675789,0.343262121,0.36363281,0.256919215,0.22174395
20191109,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20191110,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20191111,0.015630609,0.115166819,0.185929327,-0.003235026,0.15732203,0.176856896,0.341783729,0.343960143,0.10651072,0.196652337,0.189134918,0.382380716,0.396972088,0.405901293,2.230780605,0.731253265,0.505065095,0.727588133,0.385738769,0.644799529,0.522175383,0.583868596,0.514928647,0.768708955,0.735503994,0.719213668,0.483187145,0.548284304,0.442317042,0.656550619,0.778523162,0.179986268,0.249857114,0.340140266,0.538882981,0.35709715,0.470698413,0.436741349,0.263883594,0.232951762,0.291005647,0.158117667,0.369519156,0.526022851,0.435304155,0.237262031,0.293260758,0.228753026,0.243323072
20191112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20191113,0.13381633,0.03103203,0.103253605,0.361799999,-0.027251245,0.062430463,0.196752271,0.164743239,-0.011154823,0.164181191,0.042724568,-0.046469067,0.242032406,0.23911192,0.453996033,0.59052985,0.529373015,0.470728697,0.509058511,0.287532635,0.764169947,0.528897183,0.513271076,0.467409304,0.477704154,0.651217924,0.517273077,0.816658788,0.572397725,0.824077188,0.971615802,0.512410023,0.464597504,0.524665458,0.619596057,0.739833221,1.007140957,0.854696674,0.619219965,0.5230953,0.530023789,0.391331034,0.630892532,0.494913942,0.590753947,0.436650281,0.409099222,0.264452706,0.285529415
20191114,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20191115,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20191116,0.39198673,0.245619962,0.352466826,0.648559146,0.554836849,0.507623308,0.394963672,0.384961096,0.51761093,1.210790032,0.677726279,0.437971868,0.756820215,0.480377958,0.369900593,0.606430451,1.039286396,0.46865878,0.524677466,0.651303356,0.391041093,0.429565547,0.277917089,0.357527058,0.236159791,0.441569745,0.594809781,0.39943842,0.71064756,0.628468297,0.753571736,0.260802336,-0.024771055,0.138741532,0.674691063,0.923260389,0.137497577,0.18164511,-0.212814622,-0.053867055,0.271166841,0.249929628,0.016868673,0.431663588,0.414391916,0.425080851,0.492408204,0.376332006,0.197431754
20191117,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20191118,0.788121976,0.551278082,0.59368844,0.832833069,0.947766621,0.674145599,0.788210875,0.737308336,0.634681311,0.638846602,0.706778413,1.337502054,1.530968616,1.060924712,0.490116808,0.483590105,0.58400141,0.235286993,0.292799101,0.202029776,0.315318394,0.353111468,0.369614249,0.559847015,0.676732468,0.623902745,0.800963081,0.643240669,0.912490099,0.956513579,0.592407757,0.198762847,0.134965523,0.199443602,0.657738488,0.969893779,0.108796635,0.259001732,0.187368387,-0.10711254,0.176296305,0.206473715,0.215634233,0.572255128,0.058975711,0.059269751,0.507491153,0.808131773,0.15373198
20191119,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20191120,0.677059649,0.325046883,0.241978955,0.730745168,0.768884719,0.594609897,0.337964216,0.463787469,0.376843723,0.602199001,0.601017844,0.647341536,0.570478736,0.678299861,0.224726611,0.349620342,0.473000161,0.321508588,0.424221525,0.338494625,0.307510695,0.333747365,0.21883789,0.087555278,0.327872748,0.316779269,2.215929545,1.307615614,2.13014108,2.311852941,2.290563803,0.861188127,0.70289784,1.12111961,1.847854453,1.778772702,0.185356552,0.163694912,0.186025871,0.216429724,0.630158943,0.789249799,0.428136215,0.516910113,0.268112708,0.442312221,0.814406392,0.642574832,0.158262702
20191121,-0.507758686,-0.096346447,0.151601563,0.696605515,1.821379883,0.997375711,2.19772294,2.316669393,2.021075821,1.447128962,0.79660309,0.740290061,1.225435743,1.152769252,0.622259941,0.635159674,0.783733692,0.89098255,0.791371112,0.328387912,0.244576214,0.514265377,0.210850271,0.171677799,0.374236929,0.35720078,1.361821663,0.815259235,1.583167757,1.901637929,1.662320197,1.093588793,0.642725897,0.839304911,1.338697148,1.527240848,1.116115697,0.747504738,0.058811467,0.075351439,0.147055211,0.348692489,0.29335956,0.402893404,0.271849249,0.147548587,0.148825497,0.441185057,0.231834183
